timestamp,one_minus_M_AE
2024-05-10 11:57:00+00:00,561
2024-05-10 11:58:00+00:00,562
2024-05-10 11:59:00+00:00,554
2024-05-10 12:00:00+00:00,532
2024-05-10 12:01:00+00:00,521
2024-05-10 12:02:00+00:00,508
2024-05-10 12:03:00+00:00,503
2024-05-10 12:04:00+00:00,512
2024-05-10 12:05:00+00:00,515
2024-05-10 12:06:00+00:00,522
2024-05-10 12:07:00+00:00,519
2024-05-10 12:08:00+00:00,530
2024-05-10 12:09:00+00:00,540
2024-05-10 12:10:00+00:00,549
2024-05-10 12:11:00+00:00,548
2024-05-10 12:12:00+00:00,550
2024-05-10 12:13:00+00:00,553
2024-05-10 12:14:00+00:00,554
2024-05-10 12:15:00+00:00,556
2024-05-10 12:16:00+00:00,548
2024-05-10 12:17:00+00:00,542
2024-05-10 12:18:00+00:00,539
2024-05-10 12:19:00+00:00,531
2024-05-10 12:20:00+00:00,535
2024-05-10 12:21:00+00:00,539
2024-05-10 12:22:00+00:00,537
2024-05-10 12:23:00+00:00,528
2024-05-10 12:24:00+00:00,519
2024-05-10 12:25:00+00:00,509
2024-05-10 12:26:00+00:00,503
2024-05-10 12:27:00+00:00,497
2024-05-10 12:28:00+00:00,488
2024-05-10 12:29:00+00:00,488
2024-05-10 12:30:00+00:00,498
2024-05-10 12:31:00+00:00,505
2024-05-10 12:32:00+00:00,508
2024-05-10 12:33:00+00:00,512
2024-05-10 12:34:00+00:00,510
2024-05-10 12:35:00+00:00,508
2024-05-10 12:36:00+00:00,505
2024-05-10 12:37:00+00:00,498
2024-05-10 12:38:00+00:00,497
2024-05-10 12:39:00+00:00,498
2024-05-10 12:40:00+00:00,496
2024-05-10 12:41:00+00:00,495
2024-05-10 12:42:00+00:00,499
2024-05-10 12:43:00+00:00,501
2024-05-10 12:44:00+00:00,499
2024-05-10 12:45:00+00:00,506
2024-05-10 12:46:00+00:00,508
2024-05-10 12:47:00+00:00,502
2024-05-10 12:48:00+00:00,503
2024-05-10 12:49:00+00:00,510
2024-05-10 12:50:00+00:00,514
2024-05-10 12:51:00+00:00,512
2024-05-10 12:52:00+00:00,514
2024-05-10 12:53:00+00:00,501
2024-05-10 12:54:00+00:00,483
2024-05-10 12:55:00+00:00,478
2024-05-10 12:56:00+00:00,473
2024-05-10 12:57:00+00:00,478
2024-05-10 12:58:00+00:00,476
2024-05-10 12:59:00+00:00,474
2024-05-10 13:00:00+00:00,473
2024-05-10 13:01:00+00:00,461
2024-05-10 13:02:00+00:00,460
2024-05-10 13:03:00+00:00,438
2024-05-10 13:04:00+00:00,435
2024-05-10 13:05:00+00:00,430
2024-05-10 13:06:00+00:00,430
2024-05-10 13:07:00+00:00,416
2024-05-10 13:08:00+00:00,410
2024-05-10 13:09:00+00:00,400
2024-05-10 13:10:00+00:00,388
2024-05-10 13:11:00+00:00,395
2024-05-10 13:12:00+00:00,415
2024-05-10 13:13:00+00:00,432
2024-05-10 13:14:00+00:00,451
2024-05-10 13:15:00+00:00,483
2024-05-10 13:16:00+00:00,503
2024-05-10 13:17:00+00:00,511
2024-05-10 13:18:00+00:00,485
2024-05-10 13:19:00+00:00,442
2024-05-10 13:20:00+00:00,395
2024-05-10 13:21:00+00:00,373
2024-05-10 13:22:00+00:00,368
2024-05-10 13:23:00+00:00,375
2024-05-10 13:24:00+00:00,369
2024-05-10 13:25:00+00:00,362
2024-05-10 13:26:00+00:00,356
2024-05-10 13:27:00+00:00,352
2024-05-10 13:28:00+00:00,356
2024-05-10 13:29:00+00:00,352
2024-05-10 13:30:00+00:00,341
2024-05-10 13:31:00+00:00,340
2024-05-10 13:32:00+00:00,341
2024-05-10 13:33:00+00:00,347
2024-05-10 13:34:00+00:00,352
2024-05-10 13:35:00+00:00,356
2024-05-10 13:36:00+00:00,358
2024-05-10 13:37:00+00:00,352
2024-05-10 13:38:00+00:00,355
2024-05-10 13:39:00+00:00,355
2024-05-10 13:40:00+00:00,348
2024-05-10 13:41:00+00:00,336
2024-05-10 13:42:00+00:00,332
